,trip_distance_id,trip_distance
0,0,2.5
1,1,2.9
2,2,19.98
3,3,10.78
4,4,30.43
5,5,5.92
6,6,5.72
7,7,6.2
8,8,0.7
9,9,7.18
10,10,0.54
11,11,1.7
12,12,1.1
13,13,2.1
14,14,8.54
15,15,2.0
16,16,3.2
17,17,1.59
18,18,16.81
19,19,0.5
20,20,0.6
21,21,9.9
22,22,0.8
23,23,0.49
24,24,5.31
25,25,3.5
26,26,9.14
27,27,2.17
28,28,18.03
29,29,1.0
30,30,11.53
31,31,4.26
32,32,2.66
33,33,2.4
34,34,3.7
35,35,1.3
36,36,9.2
37,37,0.79
38,38,0.95
39,39,6.9
40,40,3.11
41,41,3.8
42,42,2.8
43,43,1.21
44,44,1.31
45,45,2.7
46,46,5.39
47,47,2.82
48,48,2.07
49,49,7.7
50,50,5.1
51,51,3.34
52,52,2.69
53,53,0.71
54,54,1.42
55,55,4.28
56,56,1.84
57,57,3.95
58,58,3.65
59,59,9.46
60,60,0.48
61,61,19.35
62,62,11.25
63,63,2.2
64,64,4.65
65,65,1.8
66,66,10.34
67,67,6.8
68,68,1.4
69,69,6.3
70,70,5.52
71,71,3.4
72,72,9.79
73,73,1.04
74,74,10.2
75,75,2.54
76,76,1.32
77,77,1.51
78,78,1.16
79,79,0.89
80,80,7.06
81,81,5.57
82,82,0.99
83,83,2.81
84,84,2.45
85,85,2.61
86,86,0.73
87,87,1.92
88,88,3.25
89,89,4.83
90,90,2.46
91,91,2.85
92,92,4.33
93,93,5.06
94,94,9.5
95,95,0.55
96,96,1.5
97,97,1.2
98,98,5.4
99,99,1.43
100,100,2.99
101,101,0.46
102,102,2.91
103,103,0.9
104,104,4.76
105,105,4.51
106,106,2.3
107,107,5.66
108,108,1.47
109,109,18.34
110,110,1.74
111,111,20.2
112,112,3.37
113,113,18.95
114,114,3.32
115,115,3.9
116,116,0.2
117,117,7.91
118,118,10.0
119,119,1.07
120,120,9.1
121,121,18.9
122,122,0.58
123,123,2.59
124,124,5.98
125,125,0.42
126,126,9.55
127,127,0.35
128,128,8.97
129,129,3.49
130,130,1.53
131,131,3.77
132,132,1.65
133,133,1.96
134,134,1.6
135,135,5.14
136,136,2.51
137,137,18.3
138,138,3.3
139,139,0.93
140,140,3.22
141,141,2.23
142,142,4.44
143,143,11.43
144,144,1.37
145,145,2.38
146,146,1.91
147,147,2.31
148,148,1.33
149,149,4.09
150,150,4.14
151,151,6.94
152,152,0.92
153,153,2.36
154,154,1.56
155,155,2.19
156,156,3.87
157,157,1.13
158,158,1.19
159,159,1.22
160,160,1.03
161,161,0.85
162,162,4.94
163,163,1.15
164,164,2.77
165,165,2.72
166,166,0.41
167,167,0.75
168,168,1.62
169,169,0.88
170,170,4.84
171,171,0.3
172,172,17.49
173,173,1.63
174,174,1.02
175,175,3.17
176,176,11.15
177,177,12.59
178,178,2.67
179,179,0.83
180,180,0.53
181,181,18.04
182,182,3.28
183,183,2.05
184,184,0.94
185,185,0.72
186,186,1.18
187,187,1.57
188,188,4.85
189,189,0.56
190,190,2.58
191,191,2.89
192,192,2.55
193,193,0.61
194,194,1.06
195,195,1.26
196,196,3.05
197,197,12.92
198,198,1.28
199,199,2.01
200,200,5.54
201,201,0.86
202,202,15.18
203,203,3.14
204,204,3.13
205,205,2.94
206,206,4.79
207,207,2.53
208,208,2.02
209,209,4.21
210,210,0.67
211,211,6.38
212,212,1.08
213,213,7.4
214,214,1.29
215,215,1.41
216,216,1.34
217,217,7.45
218,218,5.59
219,219,2.04
220,220,1.36
221,221,3.62
222,222,0.77
223,223,1.12
224,224,2.44
225,225,3.38
226,226,10.17
227,227,1.23
228,228,4.19
229,229,2.28
230,230,3.54
231,231,2.09
232,232,1.95
233,233,2.08
234,234,10.42
235,235,5.83
236,236,1.78
237,237,6.05
238,238,1.09
239,239,17.43
240,240,4.6
241,241,0.84
242,242,2.62
243,243,3.79
244,244,1.93
245,245,1.97
246,246,0.74
247,247,6.71
248,248,4.66
249,249,13.28
250,250,6.81
251,251,1.44
252,252,3.08
253,253,3.91
254,254,6.24
255,255,16.28
256,256,0.01
257,257,0.0
258,258,4.29
259,259,2.64
260,260,1.66
261,261,0.59
262,262,2.39
263,263,10.29
264,264,8.81
265,265,5.16
266,266,2.49
267,267,0.82
268,268,0.97
269,269,1.11
270,270,6.75
271,271,8.17
272,272,0.39
273,273,1.46
274,274,2.76
275,275,4.05
276,276,5.51
277,277,3.57
278,278,2.88
279,279,0.87
280,280,0.43
281,281,0.52
282,282,1.25
283,283,0.69
284,284,1.17
285,285,1.99
286,286,18.85
287,287,2.16
288,288,2.56
289,289,6.03
290,290,8.35
291,291,17.17
292,292,19.57
293,293,3.06
294,294,2.43
295,295,9.7
296,296,0.02
297,297,4.81
298,298,17.47
299,299,1.61
300,300,3.03
301,301,5.56
302,302,3.85
303,303,2.13
304,304,8.91
305,305,7.82
306,306,9.66
307,307,1.69
308,308,0.65
309,309,4.75
310,310,2.87
311,311,2.34
312,312,2.14
313,313,22.0
314,314,4.69
315,315,13.27
316,316,2.15
317,317,1.81
318,318,0.81
319,319,3.1
320,320,18.67
321,321,18.05
322,322,8.74
323,323,12.76
324,324,1.27
325,325,4.63
326,326,3.35
327,327,3.52
328,328,2.12
329,329,1.73
330,330,1.05
331,331,2.22
332,332,5.32
333,333,3.68
334,334,1.87
335,335,3.02
336,336,1.54
337,337,6.5
338,338,4.1
339,339,6.53
340,340,20.6
341,341,2.35
342,342,2.79
343,343,18.23
344,344,1.48
345,345,3.82
346,346,8.95
347,347,1.49
348,348,1.24
349,349,2.78
350,350,1.01
351,351,0.04
352,352,4.56
353,353,2.03
354,354,2.33
355,355,1.88
356,356,0.64
357,357,18.81
358,358,17.36
359,359,5.5
360,360,2.41
361,361,0.98
362,362,2.75
363,363,3.94
364,364,5.02
365,365,0.68
366,366,3.67
367,367,4.4
368,368,4.92
369,369,3.29
370,370,14.76
371,371,12.39
372,372,5.78
373,373,6.76
374,374,5.13
375,375,0.96
376,376,2.95
377,377,4.2
378,378,2.68
379,379,13.92
380,380,19.02
381,381,6.36
382,382,2.11
383,383,1.55
384,384,2.29
385,385,6.72
386,386,4.97
387,387,17.83
388,388,16.3
389,389,2.52
390,390,8.46
391,391,3.45
392,392,0.91
393,393,17.89
394,394,17.18
395,395,5.36
396,396,3.81
397,397,7.11
398,398,17.56
399,399,1.79
400,400,2.86
401,401,1.89
402,402,8.1
403,403,0.76
404,404,17.38
405,405,4.0
406,406,2.71
407,407,0.63
408,408,3.66
409,409,0.44
410,410,3.09
411,411,12.25
412,412,9.07
413,413,19.47
414,414,12.55
415,415,0.62
416,416,11.27
417,417,0.45
418,418,2.84
419,419,6.37
420,420,7.37
421,421,4.68
422,422,1.35
423,423,7.01
424,424,6.39
425,425,0.25
426,426,4.24
427,427,1.72
428,428,1.9
429,429,0.66
430,430,9.49
431,431,2.18
432,432,5.68
433,433,3.18
434,434,2.97
435,435,10.88
436,436,10.75
437,437,11.22
438,438,7.42
439,439,2.48
440,440,16.75
441,441,18.98
442,442,4.37
443,443,3.04
444,444,4.43
445,445,1.58
446,446,15.79
447,447,3.97
448,448,12.75
449,449,5.96
450,450,2.74
451,451,3.42
452,452,4.03
453,453,1.14
454,454,4.31
455,455,4.7
456,456,10.74
457,457,1.64
458,458,16.27
459,459,7.41
460,460,3.15
461,461,1.98
462,462,0.47
463,463,8.44
464,464,3.07
465,465,2.42
466,466,20.3
467,467,1.86
468,468,3.01
469,469,2.37
470,470,4.91
471,471,1.67
472,472,9.22
473,473,12.05
474,474,3.31
475,475,2.65
476,476,7.53
477,477,2.73
478,478,2.83
479,479,2.25
480,480,1.83
481,481,0.78
482,482,5.99
483,483,4.87
484,484,2.47
485,485,4.88
486,486,2.21
487,487,10.93
488,488,9.09
489,489,4.9
490,490,2.96
491,491,1.71
492,492,2.06
493,493,6.79
494,494,18.24
495,495,2.6
496,496,12.54
497,497,4.23
498,498,1.77
499,499,10.26
500,500,11.38
501,501,2.26
502,502,3.84
503,503,5.77
504,504,5.17
505,505,5.97
506,506,17.77
507,507,10.28
508,508,6.14
509,509,2.93
510,510,4.58
511,511,4.17
512,512,1.75
513,513,3.23
514,514,1.76
515,515,3.53
516,516,1.39
517,517,2.24
518,518,3.44
519,519,7.5
520,520,2.57
521,521,3.98
522,522,18.79
523,523,6.17
524,524,10.65
525,525,17.6
526,526,5.61
527,527,0.37
528,528,4.02
529,529,1.52
530,530,20.89
531,531,8.78
532,532,16.68
533,533,1.82
534,534,3.12
535,535,2.92
536,536,0.57
537,537,0.31
538,538,1.85
539,539,0.51
540,540,19.71
541,541,10.61
542,542,18.64
543,543,3.6
544,544,4.8
545,545,22.75
546,546,6.35
547,547,13.3
548,548,1.38
549,549,11.06
550,550,16.53
551,551,4.64
552,552,3.21
553,553,3.93
554,554,12.6
555,555,0.24
556,556,10.55
557,557,12.07
558,558,13.45
559,559,11.59
560,560,6.58
561,561,5.35
562,562,4.77
563,563,6.43
564,564,3.99
565,565,8.2
566,566,11.12
567,567,12.93
568,568,11.19
569,569,8.19
570,570,3.16
571,571,19.17
572,572,3.71
573,573,5.2
574,574,13.09
575,575,5.79
576,576,3.55
577,577,17.82
578,578,6.04
579,579,8.71
580,580,9.47
581,581,12.33
582,582,10.52
583,583,7.75
584,584,5.29
585,585,6.31
586,586,6.89
587,587,2.98
588,588,10.03
589,589,3.58
590,590,5.89
591,591,1.68
592,592,22.56
593,593,5.24
594,594,12.24
595,595,16.64
596,596,0.18
597,597,0.36
598,598,3.47
599,599,13.38
